item no.,safety_stock,rop,warehouse_capacity,min,max,lead_time,avg,item description,base uom,po uom,abc classification,item category,category description,quantity on hand,product group,product group description,rank,discontinued,unit price_first tier,eor
073100-CR-BLK,133.6,356,700,5,89,4,55.6,1000CTSQUEEZETOPSÂ«84MMOPAQUECRTUBEBLACK,BOX,BOX,,Y,InventoryPurchasePause,12,Y28,Tubes,Next250,No,74,3.044120015
073100-CR-CLR,68,125,228,2,25,5,11.4,1000CTSQUEEZETOPSÂ®84MMCRTUBECLEAR,BOX,BOX,,A,FlowerContainers,22,A6,JointTubes,Next250,No,74,1.0180194675759577
073100-CR-TEA,,,,,,1,,1000CTSQUEEZETOPSÂ«84MMCRTUBEOPAQUETEAL,BOX,BOX,,A,FlowerContainers,5,A7,Blunt&ConeTubes,OtherPackaging,No,74,
073100-CR-TVIO,5,30,48,3,6,5,5,1000CTSQUEEZETOPSÂ«84MMCRTUBETRANSVIOLET,BOX,BOX,,A,FlowerContainers,12,A7,Blunt&ConeTubes,OtherPackaging,No,74,0.9128709291752769
073100-CR-TYEL,9.333333333333334,24,42,2,6,4,3.6666666666666665,1000CTSQUEEZETOPSÂ«84MMCRTUBETRANSYELLOW,BOX,BOX,,A,FlowerContainers,6,A7,Blunt&ConeTubes,OtherPackaging,No,58.98,1.1055415967851332
073700-CR-BLK-1000,210,370,740,7,74,5,32,1000CTSQUEEZETOPSÂ«98MMOPAQUECRTUBEBLACK,BOX,BOX,,A,FlowerContainers,,A7,Blunt&ConeTubes,Top151-250,No,90,
073700-CR-CLR-1000,464.16666666666663,920,1675,5,184,5,91.16666666666667,1000CTSQUEEZETOPSÂ®98MMCRTUBECLEAR,BOX,BOX,,A,FlowerContainers,165,A6,JointTubes,Top51-150,No,90,1.0512138246096772
073700-CR-GRN-1000,213,295,568,2,59,5,16.4,1000CTSQUEEZETOPSÂ«98MMOPAQUECRTUBEGREEN,BOX,BOX,,A,FlowerContainers,22,A7,Blunt&ConeTubes,Next250,No,90,1.2210278829367864
073700-CR-RED-1000,108.8,228,448,1,57,4,29.8,1000CTSQUEEZETOPSÂ«98MMOPAQUECRTUBERED,BOX,BOX,,A,FlowerContainers,8,A7,Blunt&ConeTubes,OtherPackaging,No,82.98,2.7294688127912363
073700-CR-RYB-1000,43.75,80,148,1,16,5,7.25,1000CTSQUEEZETOPSÂ«98MMOPAQUECRTUBEBLUE,BOX,BOX,,A,FlowerContainers,12,A7,Blunt&ConeTubes,Next250,No,90,1.0992421631894098
073700-CR-SLV-1000,93,141,271,1,47,3,16,1000CTSQUEEZETOPSÂ«98MMOPAQUECRTUBESILVER,BOX,BOX,,A,FlowerContainers,11,A7,Blunt&ConeTubes,OtherPackaging,No,73.98,1.7056057308448833
073700-CR-TBLK-1000,17,45,-135,5,15,3,9.333333333333334,1000CTSQUEEZETOPSÂ®98MMCRTUBETRANSBLACK,BOX,BOX,,A,FlowerContainers,225,A6,JointTubes,OtherPackaging,No,82.98,0.28803291992923824
073700-CR-TBLU-1000,142.5,225,423,4,45,5,16.5,1000CTSQUEEZETOPSÂ«98MMCRTUBETRANSBLUE,BOX,BOX,,A,FlowerContainers,27,A7,Blunt&ConeTubes,Next250,No,90,1.1055415967851334
073700-CR-TGRN-1000,74.16666666666666,205,410,10,41,5,26.166666666666668,1000CTSQUEEZETOPSÂ®98MMCRTUBETRANSGREEN,BOX,BOX,,A,FlowerContainers,,A6,JointTubes,Next250,No,90,
073700-CR-TORG-1000,86.66666666666666,200,392,2,40,5,22.666666666666668,1000CTSQUEEZETOPSÂ«98MMCRTUBETRANSORANGE,BOX,BOX,,A,FlowerContainers,8,A7,Blunt&ConeTubes,Top151-250,No,90,2.3804761428476167
073700-CR-TRED-1000,132.5,250,468,4,50,5,23.5,1000CTSQUEEZETOPSÂ«98MMCRTUBETRANSRED,BOX,BOX,,A,FlowerContainers,32,A7,Blunt&ConeTubes,Top151-250,No,90,1.2119199643540823
073700-CR-TRSBY-1000,,,,,,1,,1000CTSQUEEZETOPS98MMCRTUBETRANSRASPBERRY,BOX,BOX,,A,FlowerContainers,1,A7,Blunt&ConeTubes,NewPackaging,No,148.97,
073700-CR-TVIO-1000,122.5,240,455,2,48,5,23.5,1000CTSQUEEZETOPSÂ«98MMCRTUBETRANSVIOLET,BOX,BOX,,A,FlowerContainers,25,A7,Blunt&ConeTubes,Top151-250,No,90,1.3711309200802089
073700-CR-TYEL-1000,74.16666666666666,180,340,2,36,5,21.166666666666668,1000CTSQUEEZETOPSÂ«98MMCRTUBETRANSYELLOW,BOX,BOX,,A,FlowerContainers,20,A7,Blunt&ConeTubes,Next250,No,90,1.4548768561863463
073700-CR-WHT-1000,81.75,153,281,4,51,3,23.75,1000CTSQUEEZETOPSÂ®98MMOPAQUECRTUBEWHITE,BOX,BOX,,A,FlowerContainers,25,A6,JointTubes,Next250,No,82.98,1.3784048752090223
074300-CR-BLK-1000,624.1666666666667,1795,3562,122,359,5,234.16666666666666,1000CTSQUEEZETOPSÂ«109MMOPAQUECRTUBEBLACK,BOX,BOX,,A,FlowerContainers,28,A7,Blunt&ConeTubes,Top50,No,95,4.089766555219317
074300-CR-CLR-1000,639.1666666666666,1000,1921,10,200,5,72.16666666666667,1000CTSQUEEZETOPS109MMCRTUBECLEAR,BOX,BOX,,A,FlowerContainers,79,A7,Blunt&ConeTubes,Top51-150,No,95,1.3516671999457865
